url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label
famedu,876,218,17,73,Let's Encrypt,0
akkese,3294,357,1,89,Let's Encrypt,0
adilaydin,3672,344,20,70,Sectigo Limited,0
sivart,2877,43,0,90,Sectigo Limited,0
halidunyasi,1823,1,53,37,Let's Encrypt,0
gokhanoren,1507,683,24,66,Google Trust Services LLC,0
senkronguvenlik,8857,273,57,33,Let's Encrypt,0
dynamicportagencies,2479,75,31,59,Let's Encrypt,0
fixplan,2087,103,171,194,Sectigo Limited,0
megaseal,5820,1118,13,77,Let's Encrypt,0
isplas,1705,120,13,77,Let's Encrypt,0
emart,6252,321,35,55,Let's Encrypt,0
sandeco,7267,36,56,34,Let's Encrypt,0
saha,2502,1148,28,62,Let's Encrypt,0
mepros,1512,313,368,12,Sectigo Limited,0
olivelife,1052,407,-1,-1,,0
urbar,4118,1358,-1,-1,,0
vala,2013,177,24,66,Let's Encrypt,0
tates,7024,644,15,75,Let's Encrypt,0
ozsumergida,5909,299,-1,-1,,0
gultekinelektrik,1873,317,3,87,"cPanel, Inc.",0
hakanarslan,3137,1610,31,59,Let's Encrypt,0
turpor,2815,105,-1,-1,,0
hpthydraulic,3900,116,21,69,Let's Encrypt,0
myplaza,4393,1815,-1,-1,,0
megaprinter,3714,-64,-1,-1,,0
starbalon,1442,17,3,87,Let's Encrypt,0
ayplas,2054,136,14,76,Let's Encrypt,0
pianalytics,1474,351,57,33,Sectigo Limited,0
fullajans,1556,269,27,63,Let's Encrypt,0
beynelmilel,1141,318,14,76,Let's Encrypt,0
bedora,3181,105,21,69,Let's Encrypt,0
fcayapi,969,125,1,89,Let's Encrypt,0
teknoel,7170,133,46,44,Let's Encrypt,0
asspor,4488,1354,51,346,GlobalSign nv-sa,0
feda,4817,295,-1,-1,,0
elsis-elektrik,3739,277,31,59,Let's Encrypt,0
vitrafix,6562,376,-1,-1,,0
birlesimtelekom,1768,56,11,79,Let's Encrypt,0
minekids,2919,1,46,44,Let's Encrypt,0
erkaplastik,1662,163,56,34,Let's Encrypt,0
celebipvc,6482,91,-1,-1,,0
yafdiesel,2895,25,-1,-1,,0
akturkelektronik,6169,769,32,58,Let's Encrypt,0
milligaz,805,289,0,90,Let's Encrypt,0
afsol,1688,137,57,33,Let's Encrypt,0
urayapi,2894,757,5,85,Let's Encrypt,0
eskisehircilingir,2312,973,7,83,Let's Encrypt,0
watershield,1725,100,47,318,DigiCert Inc,0
numanpoyraz,160,934,43,47,Let's Encrypt,0
su-yapi,5337,505,-1,-1,,0
muharremayvaz,3367,284,-1,-1,,0
aptech,3032,619,147,218,Sectigo Limited,0
rkb,5377,100,-1,-1,,0
gumussuaritma,5429,413,18,72,Let's Encrypt,0
blackdiamond,3914,102,-1,-1,,0
sibay,6301,272,-1,-1,,0
ucuncugoz,4588,159,5,85,Let's Encrypt,0
ictnebula,522,1302,-1,-1,,0
kodgemstraight,1318,871,34,56,Sectigo Limited,0
mall,826,268,-1,-1,,0
